"","word_tokens","nrc","afinn","bing","period"
"242","compared",NA,NA,NA,"2019"
"243","historical",NA,NA,NA,"2019"
"244","averages",NA,NA,NA,"2019"
"245","moderate","positive",NA,NA,"2019"
"246","countries",NA,NA,NA,"2019"
"247","relative","trust",NA,NA,"2019"
"248","sovereign","trust",NA,NA,"2019"
"249","yields",NA,NA,NA,"2019"
"250","investors",NA,NA,NA,"2019"
"251","compensation",NA,NA,NA,"2019"
"252","bearing",NA,NA,NA,"2019"
"253","equity","positive",NA,NA,"2019"
"254","risk","anticipation",-2,"negative","2019"
"255","risk","fear",-2,"negative","2019"
"256","risk","negative",-2,"negative","2019"
"257","hinge",NA,NA,NA,"2019"
"258","term",NA,NA,NA,"2019"
"259","premium",NA,NA,NA,"2019"
"260","extent",NA,NA,NA,"2019"
"261","premium",NA,NA,NA,"2019"
"262","unusually",NA,NA,"negative","2019"
"263","low",NA,NA,NA,"2019"
"264","flatter",NA,NA,"positive","2019"
"265","valuations.financial",NA,NA,NA,"2019"
"266","markets",NA,NA,NA,"2019"
"267","reflected",NA,NA,NA,"2019"
"268","ebb",NA,NA,NA,"2019"
"269","flow","positive",NA,NA,"2019"
"270","trade","trust",NA,NA,"2019"
"271","tensions",NA,NA,NA,"2019"
"272","period",NA,NA,NA,"2019"
"273","review",NA,NA,NA,"2019"
"274","sentiment",NA,NA,NA,"2019"
"275","stayed",NA,NA,NA,"2019"
"276","subdued",NA,NA,"negative","2019"
"277","risky","anticipation",NA,"negative","2019"
"278","risky","fear",NA,"negative","2019"
"279","risky","negative",NA,"negative","2019"
"280","assets","positive",2,NA,"2019"
"281","traded",NA,NA,NA,"2019"
"282","sideways",NA,NA,NA,"2019"
"283","investors",NA,NA,NA,"2019"
"284","continued",NA,NA,NA,"2019"
"285","struggle","anger",-2,"negative","2019"
"286","struggle","fear",-2,"negative","2019"
"287","struggle","negative",-2,"negative","2019"
"288","struggle","sadness",-2,"negative","2019"
"289","uncertain","anger",-1,"negative","2019"
"290","uncertain","disgust",-1,"negative","2019"
"291","uncertain","fear",-1,"negative","2019"
"292","uncertain","negative",-1,"negative","2019"
"293","uncertain","surprise",-1,"negative","2019"
"294","outlook",NA,NA,NA,"2019"
"295","stemming",NA,NA,NA,"2019"
"296","enduring",NA,NA,NA,"2019"
"297","china",NA,NA,NA,"2019"
"298","tensions",NA,NA,NA,"2019"
"299","lingering",NA,NA,NA,"2019"
"300","signs",NA,NA,NA,"2019"
"301","weakness","negative",-2,"negative","2019"
"302","manufacturing",NA,NA,NA,"2019"
"303","faced",NA,NA,NA,"2019"
"304","deteriorating",NA,NA,"negative","2019"
"305","macroeconomic",NA,NA,NA,"2019"
"306","outlook",NA,NA,NA,"2019"
"307","central",NA,NA,NA,"2019"
"308","banks",NA,NA,NA,"2019"
"309","jurisdictions",NA,NA,NA,"2019"
"310","chose",NA,NA,NA,"2019"
"311","provide","positive",NA,NA,"2019"
"312","provide","trust",NA,NA,"2019"
"313","monetary","anticipation",NA,NA,"2019"
"314","monetary","positive",NA,NA,"2019"
"315","accommodation.sentiment",NA,NA,NA,"2019"
"316","remained",NA,NA,NA,"2019"
"317","downcast",NA,-2,"negative","2019"
"318","september",NA,NA,NA,"2019"
"319","united","positive",1,NA,"2019"
"320","united","trust",1,NA,"2019"
"321","china",NA,NA,NA,"2019"
"322","taking",NA,NA,NA,"2019"
"323","steps",NA,NA,NA,"2019"
"324","soothe","positive",3,"positive","2019"
"325","escalation",NA,NA,NA,"2019"
"326","tensions",NA,NA,NA,"2019"
"327","occurred",NA,NA,NA,"2019"
"328","august","positive",NA,NA,"2019"
"329","2",NA,NA,NA,"2019"
"330","month",NA,NA,NA,"2019"
"331","announced",NA,NA,NA,"2019"
"332","round",NA,NA,NA,"2019"
"333","talks",NA,NA,NA,"2019"
"334","start","anticipation",NA,NA,"2019"
"335","october",NA,NA,NA,"2019"
"336","mutually",NA,NA,NA,"2019"
"337","exempted",NA,NA,NA,"2019"
"338","imports",NA,NA,NA,"2019"
"339","tariffs",NA,NA,NA,"2019"
"340","asset",NA,2,NA,"2019"
"341","prices",NA,NA,NA,"2019"
"342","stayed",NA,NA,NA,"2019"
"343","range",NA,NA,NA,"2019"
"344","bound","negative",NA,NA,"2019"
"345","suggesting",NA,NA,NA,"2019"
"346","investors",NA,NA,NA,"2019"
"347","unpersuaded",NA,NA,NA,"2019"
"348","muted",NA,NA,NA,"2019"
"349","reaction",NA,NA,NA,"2019"
"350","reflected",NA,NA,NA,"2019"
"351","continued",NA,NA,NA,"2019"
"352","concerns",NA,NA,"negative","2019"
"353","outlook",NA,NA,NA,"2019"
"354","global",NA,NA,NA,"2019"
"355","activity",NA,NA,NA,"2019"
"356","amid",NA,NA,NA,"2019"
"357","signs",NA,NA,NA,"2019"
"358","sluggish","negative",-2,"negative","2019"
"359","sluggish","sadness",-2,"negative","2019"
"360","manufacturing",NA,NA,NA,"2019"
"361","dismal","disgust",-2,"negative","2019"
"362","dismal","fear",-2,"negative","2019"
"363","dismal","negative",-2,"negative","2019"
"364","dismal","sadness",-2,"negative","2019"
"365","europe",NA,NA,NA,"2019"
"366","graph",NA,NA,NA,"2019"
"367","1",NA,NA,NA,"2019"
"368","panel",NA,NA,NA,"2019"
"369","downbeat",NA,NA,"negative","2019"
"370","emes.resilient",NA,NA,NA,"2019"
"371","labour",NA,NA,NA,"2019"
"372","markets",NA,NA,NA,"2019"
"373","sustained",NA,NA,NA,"2019"
"374","momentum","anticipation",NA,NA,"2019"
"375","momentum","positive",NA,NA,"2019"
"376","consumption",NA,NA,NA,"2019"
"377","aes",NA,NA,NA,"2019"
"378","including","positive",NA,NA,"2019"
"379","europe",NA,NA,NA,"2019"
"380","united","positive",1,NA,"2019"
"381","united","trust",1,NA,"2019"
"382","uncertainty",NA,NA,NA,"2019"
"383","corporate",NA,NA,NA,"2019"
"384","earnings",NA,NA,NA,"2019"
"385","prospects",NA,1,NA,"2019"
"386","growing",NA,1,NA,"2019"
"387","pari",NA,NA,NA,"2019"
"388","passu",NA,NA,NA,"2019"
"389","trade","trust",NA,NA,"2019"
"390","tensions",NA,NA,NA,"2019"
"391","graph",NA,NA,NA,"2019"
"392","1",NA,NA,NA,"2019"
"393","panel",NA,NA,NA,"2019"
"394","contributed",NA,NA,NA,"2019"
"395","keeping",NA,NA,NA,"2019"
"396","equities",NA,NA,NA,"2019"
"397","flat",NA,NA,NA,"2019"
"398","quarter.other",NA,NA,NA,"2019"
"399","developments",NA,NA,NA,"2019"
"400","september",NA,NA,NA,"2019"
"401","reassuring",NA,2,NA,"2019"
"402","month",NA,NA,NA,"2019"
"403","fluid",NA,NA,NA,"2019"
"404","political",NA,NA,NA,"2019"
"405","situation",NA,NA,NA,"2019"
"406","united","positive",1,NA,"2019"
"407","united","trust",1,NA,"2019"
"408","kingdom",NA,NA,NA,"2019"
"409","appeared",NA,NA,NA,"2019"
"410","strengthen","positive",2,NA,"2019"
"411","likelihood",NA,NA,NA,"2019"
"412","deal","anticipation",NA,NA,"2019"
"413","deal","joy",NA,NA,"2019"
"414","deal","positive",NA,NA,"2019"
"415","deal","surprise",NA,NA,"2019"
"416","deal","trust",NA,NA,"2019"
"417","brexit",NA,NA,NA,"2019"
"418","mid",NA,NA,NA,"2019"
"419","september",NA,NA,NA,"2019"
"420","oil",NA,NA,NA,"2019"
"421","prices",NA,NA,NA,"2019"
"422","jumped",NA,NA,NA,"2019"
"423","15",NA,NA,NA,"2019"
"424","attack","anger",-1,"negative","2019"
"425","attack","fear",-1,"negative","2019"
"426","attack","negative",-1,"negative","2019"
"427","oil",NA,NA,NA,"2019"
"428","facilities",NA,NA,NA,"2019"
"429","saudi",NA,NA,NA,"2019"
"430","arabia",NA,NA,NA,"2019"
"431","largest",NA,NA,NA,"2019"
"432","daily","anticipation",NA,NA,"2019"
"433","spike","fear",NA,NA,"2019"
"434","oil",NA,NA,NA,"2019"
"435","prices",NA,NA,NA,"2019"
"436","20",NA,NA,NA,"2019"
"437","prices",NA,NA,NA,"2019"
"438","fell","negative",NA,"negative","2019"
"439","fell","sadness",NA,"negative","2019"
"440","days.also",NA,NA,NA,"2019"
"441","september",NA,NA,NA,"2019"
"442","sudden","surprise",NA,NA,"2019"
"443","stress","negative",NA,"negative","2019"
"444","repo",NA,NA,NA,"2019"
"445","market",NA,NA,NA,"2019"
"446","raised",NA,NA,NA,"2019"
"447","concerns",NA,NA,"negative","2019"
"448","fragility",NA,NA,NA,"2019"
"449","dollar",NA,NA,NA,"2019"
"450","funding",NA,NA,NA,"2019"
"451","markets",NA,NA,NA,"2019"
"452","box",NA,NA,NA,"2019"
"453","benchmark",NA,NA,NA,"2019"
"454","repo",NA,NA,NA,"2019"
"455","rate",NA,NA,NA,"2019"
"456","secured",NA,2,NA,"2019"
"457","overnight",NA,NA,NA,"2019"
"458","financing",NA,NA,NA,"2019"
"459","rate",NA,NA,NA,"2019"
"460","sofr",NA,NA,NA,"2019"
"461","doubled",NA,NA,NA,"2019"
"462","day",NA,NA,NA,"2019"
"463","effective","positive",2,"positive","2019"
"464","effective","trust",2,"positive","2019"
"465","federal",NA,NA,NA,"2019"
"466","funds",NA,NA,NA,"2019"
"467","rate",NA,NA,NA,"2019"
"468","overshot",NA,NA,NA,"2019"
"469","upper",NA,NA,NA,"2019"
"470","limit",NA,NA,"negative","2019"
"471","federal",NA,NA,NA,"2019"
"472","reserve's",NA,NA,NA,"2019"
"473","policy","trust",NA,NA,"2019"
"474","range",NA,NA,NA,"2019"
"475","graph",NA,NA,NA,"2019"
"476","1",NA,NA,NA,"2019"
"477","panel",NA,NA,NA,"2019"
"478","actions",NA,NA,NA,"2019"
"479","federal",NA,NA,NA,"2019"
"480","reserve","positive",NA,NA,"2019"
"481","returned",NA,NA,NA,"2019"
"482","calm","positive",2,"positive","2019"
"483","market",NA,NA,NA,"2019"
"484","dislocation",NA,NA,NA,"2019"
"485","spread",NA,NA,NA,"2019"
"486","bases",NA,NA,NA,"2019"
"487","major","positive",NA,NA,"2019"
"488","currency",NA,NA,NA,"2019"
"489","fx",NA,NA,NA,"2019"
"490","swaps",NA,NA,NA,"2019"
"491","key",NA,NA,NA,"2019"
"492","funding",NA,NA,NA,"2019"
"493","market",NA,NA,NA,"2019"
"494","plummeted",NA,NA,NA,"2019"
"495","quarter",NA,NA,NA,"2019"
"496","repeat",NA,NA,NA,"2019"
"497","stress","negative",NA,"negative","2019"
"498","observed",NA,NA,NA,"2019"
"499","previous",NA,NA,NA,"2019"
"500","september",NA,NA,NA,"2019"
"501","fourth",NA,NA,NA,"2019"
"502","panel",NA,NA,NA,"2019"
"503","observers",NA,NA,NA,"2019"
"504","worried","negative",-3,"negative","2019"
"505","worried","sadness",-3,"negative","2019"
"506","prospects",NA,1,NA,"2019"
"507","renewed",NA,NA,"positive","2019"
"508","dislocations",NA,NA,NA,"2019"
"509","markets",NA,NA,NA,"2019"
"510","approached.confronted",NA,NA,NA,"2019"
"511","combination",NA,NA,NA,"2019"
"512","tepid",NA,NA,"negative","2019"
"513","activity",NA,NA,NA,"2019"
"514","persistent","positive",NA,NA,"2019"
"515","low",NA,NA,NA,"2019"
"516","inflation","fear",NA,NA,"2019"
"517","inflation","negative",NA,NA,"2019"
"518","central",NA,NA,NA,"2019"
"519","banks",NA,NA,NA,"2019"
"520","major","positive",NA,NA,"2019"
"521","economies",NA,NA,NA,"2019"
"522","eased",NA,NA,"positive","2019"
"523","monetary","anticipation",NA,NA,"2019"
"524","monetary","positive",NA,NA,"2019"
"525","policy","trust",NA,NA,"2019"
"526","12",NA,NA,NA,"2019"
"527","september",NA,NA,NA,"2019"
"528","ecb",NA,NA,NA,"2019"
"529","announced",NA,NA,NA,"2019"
"530","resumption","positive",NA,NA,"2019"
"531","government","fear",NA,NA,"2019"
"532","government","negative",NA,NA,"2019"
"533","bond",NA,NA,NA,"2019"
"534","purchase",NA,NA,NA,"2019"
"535","programme",NA,NA,NA,"2019"
"536","10",NA,NA,NA,"2019"
"537","basis",NA,NA,NA,"2019"
"538","reduction",NA,NA,NA,"2019"
"539","deposit",NA,NA,NA,"2019"
"540","rate",NA,NA,NA,"2019"
"541","lower","negative",NA,NA,"2019"
"542","lower","sadness",NA,NA,"2019"
"543","rates",NA,NA,NA,"2019"
"544","term",NA,NA,NA,"2019"
"545","refinancing",NA,NA,NA,"2019"
"546","operations",NA,NA,NA,"2019"
"547","system","trust",NA,NA,"2019"
"548","tiered",NA,NA,NA,"2019"
"549","remuneration",NA,NA,NA,"2019"
"550","bank","trust",NA,NA,"2019"
"551","reserves",NA,NA,NA,"2019"
"552","effect",NA,NA,NA,"2019"
"553","negative","negative",-2,"negative","2019"
"554","negative","sadness",-2,"negative","2019"
"555","rates",NA,NA,NA,"2019"
"556","bank","trust",NA,NA,"2019"
"557","profitability",NA,NA,NA,"2019"
"558","federal",NA,NA,NA,"2019"
"559","reserve","positive",NA,NA,"2019"
"560","cut",NA,-1,NA,"2019"
"561","policy","trust",NA,NA,"2019"
"562","rate",NA,NA,NA,"2019"
"563","september",NA,NA,NA,"2019"
"564","october",NA,NA,NA,"2019"
"565","line",NA,NA,NA,"2019"
"566","market",NA,NA,NA,"2019"
"567","expectations",NA,NA,NA,"2019"
"568","signalled",NA,NA,NA,"2019"
"569","reductions",NA,NA,NA,"2019"
"570","forward","positive",NA,NA,"2019"
"571","rates",NA,NA,NA,"2019"
"572","expectations",NA,NA,NA,"2019"
"573","declines",NA,NA,"negative","2019"
"574","policy","trust",NA,NA,"2019"
"575","rates",NA,NA,NA,"2019"
"576","2020",NA,NA,NA,"2019"
"577","graph",NA,NA,NA,"2019"
"578","2",NA,NA,NA,"2019"
"579","panel",NA,NA,NA,"2019"
"580","central",NA,NA,NA,"2019"
"581","banks",NA,NA,NA,"2019"
"582","aes",NA,NA,NA,"2019"
"583","emes",NA,NA,NA,"2019"
"584","echoed",NA,NA,NA,"2019"
"585","moves",NA,NA,NA,"2019"
"586","fed",NA,NA,NA,"2019"
"587","ecb",NA,NA,NA,"2019"
"588","late","negative",NA,NA,"2019"
"589","late","sadness",NA,NA,"2019"
"590","september",NA,NA,NA,"2019"
"591","october",NA,NA,NA,"2019"
"592","australia",NA,NA,NA,"2019"
"593","brazil",NA,NA,NA,"2019"
"594","india",NA,NA,NA,"2019"
"595","korea",NA,NA,NA,"2019"
"596","mexico",NA,NA,NA,"2019"
"597","russia",NA,NA,NA,"2019"
"598","turkey",NA,NA,NA,"2019"
"599","lowered",NA,NA,NA,"2019"
"600","policy","trust",NA,NA,"2019"
"601","rates",NA,NA,NA,"2019"
"602","keeping",NA,NA,NA,"2019"
"603","interbank",NA,NA,NA,"2019"
"604","rates",NA,NA,NA,"2019"
"605","broadly",NA,NA,NA,"2019"
"606","stable","positive",2,"positive","2019"
"607","stable","trust",2,"positive","2019"
"608","people's",NA,NA,NA,"2019"
"609","bank","trust",NA,NA,"2019"
"610","china",NA,NA,NA,"2019"
"611","pbc",NA,NA,NA,"2019"
"612","cut",NA,-1,NA,"2019"
"613","rate",NA,NA,NA,"2019"
"614","november",NA,NA,NA,"2019"
"615","day",NA,NA,NA,"2019"
"616","interbank",NA,NA,NA,"2019"
"617","rate",NA,NA,NA,"2019"
"618","mid",NA,NA,NA,"2019"
"619","month",NA,NA,NA,"2019"
"620","observers",NA,NA,NA,"2019"
"621","disagreed",NA,NA,"negative","2019"
"622","future",NA,NA,NA,"2019"
"623","path",NA,NA,NA,"2019"
"624","monetary","anticipation",NA,NA,"2019"
"625","monetary","positive",NA,NA,"2019"
"626","policy","trust",NA,NA,"2019"
"627","pbc",NA,NA,NA,"2019"
"628","faced",NA,NA,NA,"2019"
"629","challenges",NA,NA,NA,"2019"
"630","including","positive",NA,NA,"2019"
"631","perceived",NA,NA,NA,"2019"
"632","commitment",NA,2,"positive","2019"
"633","deleveraging",NA,NA,NA,"2019"
"634","economy","trust",NA,NA,"2019"
"635","weak",NA,-2,"negative","2019"
"636","economic",NA,NA,NA,"2019"
"637","activity",NA,NA,NA,"2019"
"638","degree","positive",NA,NA,"2019"
"639","stress","negative",NA,"negative","2019"
"640","local",NA,NA,NA,"2019"
"641","banks",NA,NA,NA,"2019"
"642","rising","anticipation",NA,NA,"2019"
"643","rising","joy",NA,NA,"2019"
"644","rising","positive",NA,NA,"2019"
"645","inflation","fear",NA,NA,"2019"
"646","inflation","negative",NA,NA,"2019"
"647","food","joy",NA,NA,"2019"
"648","food","positive",NA,NA,"2019"
"649","food","trust",NA,NA,"2019"
"650","pushed",NA,NA,NA,"2019"
"651","consumer",NA,NA,NA,"2019"
"652","prices",NA,NA,NA,"2019"
"653","bank","trust",NA,NA,"2019"
"654","japan",NA,NA,NA,"2019"
"655","stayed",NA,NA,NA,"2019"
"656","sidelines",NA,NA,NA,"2019"
"657","assessment","surprise",NA,NA,"2019"
"658","assessment","trust",NA,NA,"2019"
"659","japanese",NA,NA,NA,"2019"
"660","economy's",NA,NA,NA,"2019"
"661","prospects.an",NA,NA,NA,"2019"
"662","easing",NA,NA,"positive","2019"
"663","geopolitical",NA,NA,NA,"2019"
"664","tensions",NA,NA,NA,"2019"
"665","half",NA,NA,NA,"2019"
"666","october",NA,NA,NA,"2019"
"667","set",NA,NA,NA,"2019"
"668","stage",NA,NA,NA,"2019"
"669","market",NA,NA,NA,"2019"
"670","sentiment",NA,NA,NA,"2019"
"671","tentative",NA,NA,"negative","2019"
"672","signs",NA,NA,NA,"2019"
"673","stabilisation",NA,NA,NA,"2019"
"674","global",NA,NA,NA,"2019"
"675","activity",NA,NA,NA,"2019"
"676","started",NA,NA,NA,"2019"
"677","emerge",NA,NA,NA,"2019"
"678","prospects",NA,1,NA,"2019"
"679","improving","positive",2,"positive","2019"
"680","brexit",NA,NA,NA,"2019"
"681","deal","anticipation",NA,NA,"2019"
"682","deal","joy",NA,NA,"2019"
"683","deal","positive",NA,NA,"2019"
"684","deal","surprise",NA,NA,"2019"
"685","deal","trust",NA,NA,"2019"
"686","sustained",NA,NA,NA,"2019"
